facialLandmark,x,y
1,96.23,97.82
2,94.78,116.16
3,95.77,132.91
4,97.06,148.83
5,103.34,166.82
6,114.21,180.21
7,126.45,191.16
8,142.55,196.35
9,160.81,194.00
10,177.30,185.73
11,189.96,173.15
12,197.50,152.97
13,199.74,135.98
14,201.20,118.68
15,200.87,98.98
16,190.14,84.26
17,179.42,74.44
18,166.38,73.07
19,154.53,79.85
20,166.69,79.11
21,178.24,79.65
22,99.33,82.75
23,108.12,73.69
24,119.42,72.67
25,130.85,79.73
26,118.91,78.64
27,108.78,78.48
28,108.71,97.13
29,117.60,91.29
30,127.72,97.45
31,117.55,100.10
32,118.71,95.65
33,179.37,98.25
34,169.44,92.28
35,159.49,98.06
36,169.55,101.13
37,169.87,96.64
38,136.40,93.70
39,133.05,110.22
40,123.73,119.96
41,126.90,126.96
42,141.41,131.38
43,156.76,127.67
44,161.37,123.27
45,150.42,110.27
46,148.69,93.85
47,131.79,125.37
48,150.67,125.59
49,117.72,148.21
50,126.89,140.64
51,136.26,138.87
52,141.66,139.52
53,147.07,139.00
54,158.50,141.10
55,170.36,148.40
56,163.44,157.21
57,153.17,161.20
58,142.41,162.36
59,132.61,161.29
60,123.45,157.30
61,130.81,155.65
62,142.02,157.58
63,154.42,156.09
64,154.55,144.38
65,142.00,144.86
66,130.95,144.34
67,142.14,150.89
68,140.57,119.22
69,113.16,94.16
70,122.64,94.41
71,122.53,98.76
72,113.09,98.56
73,174.41,95.16
74,164.49,95.09
75,164.51,99.64
76,174.42,99.76
