facialLandmark,x,y
1,152.33,166.24
2,152.50,196.11
3,155.70,223.15
4,162.82,250.30
5,173.30,269.01
6,186.67,283.76
7,203.30,294.42
8,224.24,298.56
9,248.15,296.91
10,267.61,288.38
11,283.15,273.60
12,294.00,254.29
13,302.19,228.19
14,307.36,202.99
15,309.63,174.25
16,295.97,163.40
17,280.57,151.41
18,260.35,153.22
19,242.71,164.14
20,261.57,161.94
21,279.91,160.25
22,166.01,154.44
23,181.50,146.64
24,198.73,150.42
25,214.89,162.09
26,196.68,158.40
27,180.91,154.63
28,176.54,167.89
29,191.05,161.65
30,206.47,169.18
31,190.98,173.71
32,191.60,166.55
33,281.41,173.65
34,266.79,166.21
35,251.13,171.89
36,266.15,177.39
37,267.20,171.27
38,220.30,171.67
39,216.03,199.48
40,205.08,212.95
41,209.49,221.73
42,226.29,229.53
43,243.50,223.38
44,248.82,217.55
45,238.01,199.76
46,236.17,172.11
47,213.54,220.81
48,239.17,221.95
49,192.09,248.72
50,206.50,248.26
51,217.90,248.45
52,225.95,249.40
53,233.50,248.79
54,245.58,249.68
55,260.51,250.85
56,248.65,256.36
57,237.62,258.53
58,225.72,259.08
59,213.93,258.34
60,202.89,255.68
61,210.86,252.49
62,225.94,255.14
63,241.44,253.37
64,241.29,251.87
65,225.86,252.43
66,210.60,250.84
67,225.86,253.74
68,226.35,218.57
69,183.78,164.68
70,198.67,165.59
71,198.79,171.44
72,183.75,170.85
73,274.03,169.79
74,259.15,169.05
75,258.72,174.70
76,273.76,175.44
