facialLandmark,x,y
1,667.00,1043.82
2,666.60,1192.99
3,693.44,1334.89
4,748.74,1483.89
5,818.47,1560.75
6,895.70,1626.33
7,982.98,1681.66
8,1090.44,1699.69
9,1211.06,1680.82
10,1307.51,1624.67
11,1351.96,1540.46
12,1392.64,1455.47
13,1441.75,1331.18
14,1476.45,1197.15
15,1482.47,1045.58
16,1415.28,985.00
17,1325.87,953.97
18,1238.54,969.34
19,1160.06,1022.62
20,1246.95,1006.78
21,1330.08,992.40
22,760.49,978.52
23,843.34,945.74
24,929.36,957.69
25,1017.25,1009.73
26,925.44,995.15
27,842.78,981.36
28,822.89,1038.72
29,894.11,999.89
30,970.27,1051.28
31,893.66,1072.97
32,899.81,1031.35
33,1355.86,1054.02
34,1277.99,1009.97
35,1203.89,1060.08
36,1282.97,1096.17
37,1280.56,1045.52
38,1052.53,1059.24
39,1039.34,1214.34
40,986.16,1292.12
41,1001.06,1321.08
42,1096.08,1370.82
43,1179.31,1326.50
44,1198.15,1307.05
45,1150.78,1215.70
46,1130.79,1060.13
47,1032.81,1327.07
48,1157.58,1331.27
49,921.00,1451.91
50,996.56,1451.34
51,1058.02,1450.04
52,1096.92,1456.53
53,1136.36,1450.66
54,1192.63,1457.41
55,1256.16,1461.06
56,1214.40,1497.96
57,1165.55,1518.10
58,1098.57,1526.09
59,1029.93,1516.85
60,971.81,1495.25
61,1026.66,1476.55
62,1096.78,1488.27
63,1166.98,1480.81
64,1166.06,1468.77
65,1097.62,1471.27
66,1025.93,1464.20
67,1097.09,1477.15
68,1098.82,1305.12
69,857.90,1019.04
70,931.06,1025.50
71,931.58,1062.36
72,857.28,1056.57
73,1316.88,1031.54
74,1241.32,1034.89
75,1243.29,1077.97
76,1318.33,1074.38
