unique couple ID,are they siblings?,# votes,Yes' answers,No' answers,first picture,second picture
0003_0001,1,443,250,193,"3/DSC5751","1/DSC5755_1"
0005_0001,-1,443,55,388,"5/DSC5763","1/DSC5755_1"
0006_0003,-1,444,36,408,"6/DSC5760","3/DSC5751"
0006_0005,1,444,232,212,"6/DSC5760","5/DSC5763"
0008_0007,1,443,141,302,"8/DSC5774","7/DSC5769"
0009_0007,-1,443,62,381,"9/DSC5792","7/DSC5769"
0010_0008,-1,443,149,294,"10/DSC5804","8/DSC5774"
0010_0009,1,444,94,350,"10/DSC5804","9/DSC5792"
0014_0013,1,444,289,155,"14/DSC5826","13/DSC5818"
0015_0013,-1,443,72,371,"15/DSC5843","13/DSC5818"
0016_0014,-1,444,29,415,"16/DSC5850","14/DSC5826"
0016_0015,1,444,262,182,"16/DSC5850","15/DSC5843"
0018_0017,1,444,37,407,"18_018","17/DSC5854"
0019_0017,-1,443,20,423,"19/DSC5859","17/DSC5854"
0021_0018,-1,444,138,306,"21_021","18_018"
0021_0019,1,443,113,330,"21_021","19/DSC5859"
0024_0023,1,444,216,228,"24/DSC5863","23/DSC5872"
0027_0023,-1,443,63,380,"27/DSC5885","23/DSC5872"
0028_0024,-1,443,74,369,"28/DSC5881","24/DSC5863"
0028_0027,1,444,317,127,"28/DSC5881","27/DSC5885"
0032_0031,1,444,172,272,"32/DSC5905","31/DSC5911"
0035_0031,-1,444,93,351,"35/DSC5896","31/DSC5911"
0036_0032,-1,443,59,384,"36/DSC5900","32/DSC5905"
0036_0035,1,444,98,346,"36/DSC5900","35/DSC5896"
0040_0039,1,443,182,261,"40/DSC5919","39/DSC5924"
0041_0039,-1,443,29,414,"41/DSC5937","39/DSC5924"
0042_0040,-1,443,77,366,"42/DSC5928","40/DSC5919"
0042_0041,1,444,262,182,"42/DSC5928","41/DSC5937"
0044_0043,1,444,259,185,"44/DSC5948","43/DSC5942"
0045_0043,-1,444,134,310,"45/DSC5955","43/DSC5942"
0047_0044,-1,444,70,374,"47_047","44/DSC5948"
0047_0045,1,444,206,238,"47_047","45/DSC5955"
0050_0049,1,443,246,197,"50/DSC5961","49/DSC5966"
0051_0049,-1,444,134,310,"51/DSC5971","49/DSC5966"
0052_0050,-1,444,49,395,"52/DSC5979","50/DSC5961"
0052_0051,1,444,181,263,"52/DSC5979","51/DSC5971"
0054_0053,1,444,258,186,"54/DSC5996","53/DSC5983"
0057_0053,-1,444,103,341,"57/DSC5832","53/DSC5983"
0058_0053,-1,444,92,352,"58/DSC5835","53/DSC5983"
0058_0057,1,444,348,96,"58/DSC5835","57/DSC5832"
0059_0054,-1,444,156,288,"59/DSC6012","54/DSC5996"
0060_0054,-1,443,123,320,"60/DSC6005","54/DSC5996"
0060_0059,1,444,284,160,"60/DSC6005","59/DSC6012"
0061_0059,1,443,157,286,"61/DSC6001","59/DSC6012"
0061_0060,1,444,102,342,"61/DSC6001","60/DSC6005"
0062_0059,-1,443,80,363,"62/DSC9913","59/DSC6012"
0063_0060,-1,444,143,301,"63/DSC9905","60/DSC6005"
0063_0062,1,443,114,329,"63/DSC9905","62/DSC9913"
0066_0061,-1,443,81,362,"66/DSC9920","61/DSC6001"
0067_0061,-1,444,156,288,"67/DSC9933","61/DSC6001"
0067_0066,1,444,376,68,"67/DSC9933","66/DSC9920"
0073_0072,1,444,230,214,"73/DSC9974","72/DSC9983"
0074_0072,-1,444,80,364,"74_074","72/DSC9983"
0077_0073,-1,444,52,392,"77/DSC9993","73/DSC9974"
0077_0074,1,444,200,244,"77/DSC9993","74_074"
0081_0080,1,443,298,145,"81/DSC0011","80/DSC0002"
0082_0080,-1,444,6,438,"82/DSC0019","80/DSC0002"
0083_0081,-1,444,21,423,"83/DSC0026","81/DSC0011"
0083_0082,1,443,276,167,"83/DSC0026","82/DSC0019"
0085_0084,1,444,292,152,"85/DSC0041","84/DSC0034"
0086_0084,-1,443,126,317,"86/DSC0058","84/DSC0034"
0087_0085,-1,444,49,395,"87/DSC0051","85/DSC0041"
0087_0086,1,443,227,216,"87/DSC0051","86/DSC0058"
0089_0088,1,444,217,227,"89/DSC0083","88/DSC0067"
0090_0088,-1,443,79,364,"90/DSC0091","88/DSC0067"
0091_0089,-1,444,117,327,"91/DSC0099","89/DSC0083"
0091_0090,1,443,167,276,"91/DSC0099","90/DSC0091"
0095_0094,1,444,165,279,"95/DSC0105","94/DSC0114"
0096_0094,-1,444,92,352,"96/DSC0121","94/DSC0114"
0097_0095,-1,444,100,344,"97/DSC0130","95/DSC0105"
0097_0096,1,443,95,348,"97/DSC0130","96/DSC0121"
0098_0096,1,444,371,73,"98/DSC0138","96/DSC0121"
0099_0098,-1,444,15,429,"99/DSC0145","98/DSC0138"
0100_0099,1,444,215,229,"100/DSC0152","99/DSC0145"
0104_0100,-1,443,72,371,"104/DSC0181","100/DSC0152"
0106_0104,1,444,160,284,"106/DSC0195","104/DSC0181"
0107_0106,-1,444,87,357,"107/DSC0204","106/DSC0195"
0108_0107,1,444,352,92,"108/DSC0211","107/DSC0204"
0109_0108,-1,444,180,264,"109/DSC0215","108/DSC0211"
0110_0109,1,443,137,306,"110/DSC0225","109/DSC0215"
0111_0110,-1,444,51,393,"111/DSC0234","110/DSC0225"
0112_0111,1,444,298,146,"112/DSC0241","111/DSC0234"
0113_0111,1,443,337,106,"113/DSC0250","111/DSC0234"
0113_0112,1,443,168,275,"113/DSC0250","112/DSC0241"
0114_0111,-1,443,82,361,"114/DSC0257","111/DSC0234"
0115_0112,-1,444,30,414,"115/DSC0266","112/DSC0241"
0115_0114,1,444,323,121,"115/DSC0266","114/DSC0257"
0118_0112,-1,443,207,236,"118/DSC0274","112/DSC0241"
0119_0113,-1,444,63,381,"119/DSC0284","113/DSC0250"
0119_0118,1,443,222,221,"119/DSC0284","118/DSC0274"
0122_0113,-1,444,51,393,"122/DSC0294","113/DSC0250"
0123_0122,1,444,249,195,"123/DSC0302","122/DSC0294"
0124_0123,-1,443,159,284,"124/DSC0309","123/DSC0302"
0125_0124,1,444,382,62,"125/DSC0320","124/DSC0309"
0126_0125,-1,444,116,328,"126/DSC0346","125/DSC0320"
0127_0126,1,444,232,212,"127/DSC0355","126/DSC0346"
0128_0127,-1,444,280,164,"128/DSC0362","127/DSC0355"
0129_0128,1,444,229,215,"129/DSC0369","128/DSC0362"
0130_0129,-1,444,72,372,"130/DSC0379","129/DSC0369"
0133_0130,1,444,105,339,"133/DSC0401","130/DSC0379"
0137_0133,-1,444,48,396,"137/DSC0441","133/DSC0401"
0138_0137,1,444,141,303,"138/DSC0452","137/DSC0441"
0141_0138,-1,444,93,351,"141_141","138/DSC0452"
0143_0141,1,444,89,355,"143/DSC0527","141_141"
0144_0143,-1,444,214,230,"144/DSC0534","143/DSC0527"
0145_0144,1,444,343,101,"145/DSC0542","144/DSC0534"
0146_0145,-1,443,79,364,"146/DSC0550","145/DSC0542"
0149_0148,1,444,240,204,"149/DSC0564","148/DSC0557"
0150_0148,-1,444,55,389,"150/DSC0572","148/DSC0557"
0150_0149,-1,444,22,422,"150/DSC0572","149/DSC0564"
0151_0150,1,444,177,267,"151/DSC0579","150/DSC0572"
0152_0150,1,444,303,141,"152/DSC0585","150/DSC0572"
0152_0151,1,444,170,274,"152/DSC0585","151/DSC0579"
0153_0151,-1,443,23,420,"153/DSC0592","151/DSC0579"
0154_0151,-1,443,6,437,"154/DSC0598","151/DSC0579"
0154_0153,1,443,262,181,"154/DSC0598","153/DSC0592"
0155_0152,-1,444,168,276,"155/DSC0609","152/DSC0585"
0158_0152,-1,444,79,365,"158_158","152/DSC0585"
0158_0155,1,444,160,284,"158_158","155/DSC0609"
0161_0160,1,444,40,404,"161/DSC0617","160_160"
0162_0160,1,444,70,374,"162/DSC0625","160_160"
0162_0161,1,443,154,289,"162/DSC0625","161/DSC0617"
0163_0160,-1,443,34,409,"163/DSC0633","160_160"
0164_0160,-1,444,44,400,"164/DSC0641","160_160"
0164_0163,1,444,196,248,"164/DSC0641","163/DSC0633"
0165_0161,-1,444,88,356,"165/DSC0652","161/DSC0617"
0166_0161,-1,444,78,366,"166/DSC0657","161/DSC0617"
0166_0165,1,444,166,278,"166/DSC0657","165/DSC0652"
0167_0162,-1,444,67,377,"167/DSC0666","162/DSC0625"
0168_0162,-1,443,41,402,"168_DSCK0014","162/DSC0625"
0168_0167,1,443,200,243,"168_DSCK0014","167/DSC0666"
0176_0173,1,444,124,320,"176_176","173/DSC0682"
