unique couple ID,are they siblings?,# votes,Yes' answers,No' answers,first picture,second picture
0003_0001,1,444,205,239,"3/DSC5751+3/DSC5753","1/DSC5755_1+1/DSC5758_1"
0005_0001,-1,443,30,413,"5/DSC5763+5/DSC5765","1/DSC5755_1+1/DSC5758_1"
0006_0003,-1,443,38,405,"6/DSC5760+6/DSC5762","3/DSC5751+3/DSC5753"
0006_0005,1,444,221,223,"6/DSC5760+6/DSC5762","5/DSC5763+5/DSC5765"
0008_0007,1,444,109,335,"8/DSC5774+8/DSC5775","7/DSC5769+7/DSC5771"
0009_0007,-1,444,64,380,"9/DSC5792+9/DSC5796","7/DSC5769+7/DSC5771"
0010_0008,-1,444,119,325,"10/DSC5804+10/DSC5809","8/DSC5774+8/DSC5775"
0010_0009,1,443,135,308,"10/DSC5804+10/DSC5809","9/DSC5792+9/DSC5796"
0014_0013,1,444,269,175,"14/DSC5826+14/DSC5828","13/DSC5818+13/DSC5822"
0015_0013,-1,443,126,317,"15/DSC5843+15/DSC5846","13/DSC5818+13/DSC5822"
0016_0014,-1,444,33,411,"16/DSC5850+16/DSC5852","14/DSC5826+14/DSC5828"
0016_0015,1,444,248,196,"16/DSC5850+16/DSC5852","15/DSC5843+15/DSC5846"
0019_0017,-1,444,21,423,"19/DSC5859+19/DSC5862","17/DSC5854+17/DSC5855"
0024_0023,1,444,218,226,"24/DSC5863+24/DSC5868","23/DSC5872+23/DSC5874"
0027_0023,-1,444,61,383,"27/DSC5885+27/DSC5887","23/DSC5872+23/DSC5874"
0028_0024,-1,444,33,411,"28/DSC5881+28/DSC5883","24/DSC5863+24/DSC5868"
0028_0027,1,444,291,153,"28/DSC5881+28/DSC5883","27/DSC5885+27/DSC5887"
0032_0031,1,444,169,275,"32/DSC5905+32/DSC5907","31/DSC5911+31/DSC5913"
0035_0031,-1,444,85,359,"35/DSC5896+35/DSC5898","31/DSC5911+31/DSC5913"
0036_0032,-1,444,41,403,"36/DSC5900+36/DSC5901","32/DSC5905+32/DSC5907"
0036_0035,1,444,145,299,"36/DSC5900+36/DSC5901","35/DSC5896+35/DSC5898"
0040_0039,1,444,194,250,"40/DSC5919+40/DSC5921","39/DSC5924+39/DSC5927"
0041_0039,-1,444,22,422,"41/DSC5937+41/DSC5939","39/DSC5924+39/DSC5927"
0042_0040,-1,444,101,343,"42/DSC5928+42/DSC5933","40/DSC5919+40/DSC5921"
0042_0041,1,443,273,170,"42/DSC5928+42/DSC5933","41/DSC5937+41/DSC5939"
0044_0043,1,443,265,178,"44/DSC5948+44/DSC5952","43/DSC5942+43/DSC5946"
0045_0043,-1,443,101,342,"45/DSC5955+45/DSC5958","43/DSC5942+43/DSC5946"
0050_0049,1,443,245,198,"50/DSC5961+50/DSC5963","49/DSC5966+49/DSC5968"
0051_0049,-1,444,152,292,"51/DSC5971+51/DSC5976","49/DSC5966+49/DSC5968"
0052_0050,-1,443,37,406,"52/DSC5979+52/DSC5981","50/DSC5961+50/DSC5963"
0052_0051,1,444,152,292,"52/DSC5979+52/DSC5981","51/DSC5971+51/DSC5976"
0054_0053,1,444,278,166,"54/DSC5996+54/DSC5997","53/DSC5983+53/DSC5989"
0057_0053,-1,444,99,345,"57/DSC5832+57/DSC5834","53/DSC5983+53/DSC5989"
0058_0053,-1,443,68,375,"58/DSC5835+58/DSC5838","53/DSC5983+53/DSC5989"
0058_0057,1,444,325,119,"58/DSC5835+58/DSC5838","57/DSC5832+57/DSC5834"
0059_0054,-1,444,124,320,"59/DSC6012+59/DSC6016","54/DSC5996+54/DSC5997"
0060_0054,-1,443,143,300,"60/DSC6005+60/DSC6010","54/DSC5996+54/DSC5997"
0060_0059,1,444,193,251,"60/DSC6005+60/DSC6010","59/DSC6012+59/DSC6016"
0061_0059,1,443,164,279,"61/DSC6001+61/DSC6004","59/DSC6012+59/DSC6016"
0061_0060,1,444,74,370,"61/DSC6001+61/DSC6004","60/DSC6005+60/DSC6010"
0062_0059,-1,444,59,385,"62/DSC9913+62/DSC9917","59/DSC6012+59/DSC6016"
0063_0060,-1,444,65,379,"63/DSC9905+63/DSC9909","60/DSC6005+60/DSC6010"
0063_0062,1,444,123,321,"63/DSC9905+63/DSC9909","62/DSC9913+62/DSC9917"
0066_0061,-1,444,89,355,"66/DSC9920+66/DSC9926","61/DSC6001+61/DSC6004"
0067_0061,-1,443,97,346,"67/DSC9933+67/DSC9938","61/DSC6001+61/DSC6004"
0067_0066,1,443,363,80,"67/DSC9933+67/DSC9938","66/DSC9920+66/DSC9926"
0073_0072,1,444,254,190,"73/DSC9974+73/DSC9977","72/DSC9983+72/DSC9988"
0077_0073,-1,444,29,415,"77/DSC9993+77/DSC9998","73/DSC9974+73/DSC9977"
0081_0080,1,444,297,147,"81/DSC0011+81/DSC0015","80/DSC0002+80/DSC0006"
0082_0080,-1,444,11,433,"82/DSC0019+82/DSC0022","80/DSC0002+80/DSC0006"
0083_0081,-1,444,21,423,"83/DSC0026+83/DSC0031","81/DSC0011+81/DSC0015"
0083_0082,1,444,257,187,"83/DSC0026+83/DSC0031","82/DSC0019+82/DSC0022"
0085_0084,1,444,228,216,"85/DSC0041+85/DSC0045","84/DSC0034+84/DSC0037"
0086_0084,-1,444,98,346,"86/DSC0058+86/DSC0062","84/DSC0034+84/DSC0037"
0087_0085,-1,444,19,425,"87/DSC0051+87/DSC0054","85/DSC0041+85/DSC0045"
0087_0086,1,443,233,210,"87/DSC0051+87/DSC0054","86/DSC0058+86/DSC0062"
0089_0088,1,443,207,236,"89/DSC0083+89/DSC0085","88/DSC0067+88/DSC0072"
0090_0088,-1,444,109,335,"90/DSC0091+90/DSC0094","88/DSC0067+88/DSC0072"
0091_0089,-1,443,111,332,"91/DSC0099+91/DSC0100","89/DSC0083+89/DSC0085"
0091_0090,1,443,177,266,"91/DSC0099+91/DSC0100","90/DSC0091+90/DSC0094"
0095_0094,1,444,173,271,"95/DSC0105+95/DSC0108","94/DSC0114+94/DSC0118"
0096_0094,-1,444,73,371,"96/DSC0121+96/DSC0127","94/DSC0114+94/DSC0118"
0097_0095,-1,444,58,386,"97/DSC0130+97/DSC0134","95/DSC0105+95/DSC0108"
0097_0096,1,443,89,354,"97/DSC0130+97/DSC0134","96/DSC0121+96/DSC0127"
0098_0096,1,444,366,78,"98/DSC0138+98/DSC0141","96/DSC0121+96/DSC0127"
0099_0098,-1,444,15,429,"99/DSC0145+99/DSC0149","98/DSC0138+98/DSC0141"
0100_0099,1,444,245,199,"100/DSC0152+100/DSC0156","99/DSC0145+99/DSC0149"
0104_0100,-1,443,76,367,"104/DSC0181+104/DSC0185","100/DSC0152+100/DSC0156"
0106_0104,1,444,107,337,"106/DSC0195+106/DSC0199","104/DSC0181+104/DSC0185"
0107_0106,-1,443,84,359,"107/DSC0204+107/DSC0207","106/DSC0195+106/DSC0199"
0108_0107,1,444,353,91,"108/DSC0211+108/DSC0213","107/DSC0204+107/DSC0207"
0109_0108,-1,444,145,299,"109/DSC0215+109/DSC0222","108/DSC0211+108/DSC0213"
0110_0109,1,443,115,328,"110/DSC0225+110/DSC0230","109/DSC0215+109/DSC0222"
0111_0110,-1,444,44,400,"111/DSC0234+111/DSC0238","110/DSC0225+110/DSC0230"
0112_0111,1,444,289,155,"112/DSC0241+112/DSC0245","111/DSC0234+111/DSC0238"
0113_0111,1,444,319,125,"113/DSC0250+113/DSC0253","111/DSC0234+111/DSC0238"
0113_0112,1,443,174,269,"113/DSC0250+113/DSC0253","112/DSC0241+112/DSC0245"
0114_0111,-1,443,96,347,"114/DSC0257+114/DSC0261","111/DSC0234+111/DSC0238"
0115_0112,-1,443,15,428,"115/DSC0266+115/DSC0269","112/DSC0241+112/DSC0245"
0115_0114,1,443,268,175,"115/DSC0266+115/DSC0269","114/DSC0257+114/DSC0261"
0118_0112,-1,443,157,286,"118/DSC0274+118/DSC0280","112/DSC0241+112/DSC0245"
0119_0113,-1,444,56,388,"119/DSC0284+119/DSC0289","113/DSC0250+113/DSC0253"
0119_0118,1,443,133,310,"119/DSC0284+119/DSC0289","118/DSC0274+118/DSC0280"
0122_0113,-1,444,100,344,"122/DSC0294+122/DSC0298","113/DSC0250+113/DSC0253"
0123_0122,1,443,235,208,"123/DSC0302+123/DSC0306","122/DSC0294+122/DSC0298"
0124_0123,-1,444,168,276,"124/DSC0309+124/DSC0315","123/DSC0302+123/DSC0306"
0125_0124,1,443,379,64,"125/DSC0320+125/DSC0326","124/DSC0309+124/DSC0315"
0126_0125,-1,444,93,351,"126/DSC0346+126/DSC0350","125/DSC0320+125/DSC0326"
0127_0126,1,444,234,210,"127/DSC0355+127/DSC0359","126/DSC0346+126/DSC0350"
0128_0127,-1,443,274,169,"128/DSC0362+128/DSC0365","127/DSC0355+127/DSC0359"
0129_0128,1,443,174,269,"129/DSC0369+129/DSC0375","128/DSC0362+128/DSC0365"
