unique couple ID,are they siblings?,# votes,Yes' answers,No' answers,first picture,second picture
0067_0066,1,444,347,97,"67/DSC9933+67/DSC9938+67/DSC9932+67/DSC9940","66/DSC9920+66/DSC9926+66/DSC9922+66/DSC9928"
0073_0072,1,444,272,172,"73/DSC9974+73/DSC9977+73/DSC9975+73/DSC9980","72/DSC9983+72/DSC9988+72/DSC9985+72/DSC9989"
0077_0073,-1,444,31,413,"77/DSC9993+77/DSC9998+77/DSC9996+77/DSC9999","73/DSC9974+73/DSC9977+73/DSC9975+73/DSC9980"
0081_0080,1,443,302,141,"81/DSC0011+81/DSC0015+81/DSC0013+81/DSC0017","80/DSC0002+80/DSC0006+80/DSC0004+80/DSC0008"
0082_0080,-1,443,14,429,"82/DSC0019+82/DSC0022+82/DSC0020+82/DSC0024","80/DSC0002+80/DSC0006+80/DSC0004+80/DSC0008"
0083_0081,-1,443,18,425,"83/DSC0026+83/DSC0031+83/DSC0027+83/DSC0032","81/DSC0011+81/DSC0015+81/DSC0013+81/DSC0017"
0083_0082,1,443,271,172,"83/DSC0026+83/DSC0031+83/DSC0027+83/DSC0032","82/DSC0019+82/DSC0022+82/DSC0020+82/DSC0024"
0085_0084,1,443,237,206,"85/DSC0041+85/DSC0045+85/DSC0043+85/DSC0047","84/DSC0034+84/DSC0037+84/DSC0036+84/DSC0039"
0086_0084,-1,444,100,344,"86/DSC0058+86/DSC0062+86/DSC0060+86/DSC0064","84/DSC0034+84/DSC0037+84/DSC0036+84/DSC0039"
0087_0085,-1,444,34,410,"87/DSC0051+87/DSC0054+87/DSC0053+87/DSC0056","85/DSC0041+85/DSC0045+85/DSC0043+85/DSC0047"
0087_0086,1,444,290,154,"87/DSC0051+87/DSC0054+87/DSC0053+87/DSC0056","86/DSC0058+86/DSC0062+86/DSC0060+86/DSC0064"
0089_0088,1,444,204,240,"89/DSC0083+89/DSC0085+89/DSC0078+89/DSC0086","88/DSC0067+88/DSC0072+88/DSC0071+88/DSC0075"
0090_0088,-1,444,123,321,"90/DSC0091+90/DSC0094+90/DSC0093+90/DSC0096","88/DSC0067+88/DSC0072+88/DSC0071+88/DSC0075"
0091_0089,-1,444,94,350,"91/DSC0099+91/DSC0100+91/DSC0098+91/DSC0102","89/DSC0083+89/DSC0085+89/DSC0078+89/DSC0086"
0091_0090,1,444,199,245,"91/DSC0099+91/DSC0100+91/DSC0098+91/DSC0102","90/DSC0091+90/DSC0094+90/DSC0093+90/DSC0096"
0095_0094,1,444,144,300,"95/DSC0105+95/DSC0108+95/DSC0107+95/DSC0110","94/DSC0114+94/DSC0118+94/DSC0117+94/DSC0120"
0096_0094,-1,444,86,358,"96/DSC0121+96/DSC0127+96/DSC0125+96/DSC0128","94/DSC0114+94/DSC0118+94/DSC0117+94/DSC0120"
0097_0095,-1,444,83,361,"97/DSC0130+97/DSC0134+97/DSC0132+97/DSC0136","95/DSC0105+95/DSC0108+95/DSC0107+95/DSC0110"
0097_0096,1,444,119,325,"97/DSC0130+97/DSC0134+97/DSC0132+97/DSC0136","96/DSC0121+96/DSC0127+96/DSC0125+96/DSC0128"
0098_0096,1,444,377,67,"98/DSC0138+98/DSC0141+98/DSC0140+98/DSC0143","96/DSC0121+96/DSC0127+96/DSC0125+96/DSC0128"
0099_0098,-1,444,16,428,"99/DSC0145+99/DSC0149+99/DSC0147+99/DSC0150","98/DSC0138+98/DSC0141+98/DSC0140+98/DSC0143"
0100_0099,1,444,230,214,"100/DSC0152+100/DSC0156+100/DSC0154+100/DSC0159","99/DSC0145+99/DSC0149+99/DSC0147+99/DSC0150"
0104_0100,-1,443,62,381,"104/DSC0181+104/DSC0185+104/DSC0183+104/DSC0186","100/DSC0152+100/DSC0156+100/DSC0154+100/DSC0159"
0106_0104,1,444,142,302,"106/DSC0195+106/DSC0199+106/DSC0198+106/DSC0201","104/DSC0181+104/DSC0185+104/DSC0183+104/DSC0186"
0107_0106,-1,444,80,364,"107/DSC0204+107/DSC0207+107/DSC0206+107/DSC0209","106/DSC0195+106/DSC0199+106/DSC0198+106/DSC0201"
0108_0107,1,444,352,92,"108/DSC0211+108/DSC0213+108/DSC0212+108/DSC0214","107/DSC0204+107/DSC0207+107/DSC0206+107/DSC0209"
0109_0108,-1,443,147,296,"109/DSC0215+109/DSC0222+109/DSC0218+109/DSC0223","108/DSC0211+108/DSC0213+108/DSC0212+108/DSC0214"
0110_0109,1,443,133,310,"110/DSC0225+110/DSC0230+110/DSC0228+110/DSC0232","109/DSC0215+109/DSC0222+109/DSC0218+109/DSC0223"
0111_0110,-1,443,27,416,"111/DSC0234+111/DSC0238+111/DSC0236+111/DSC0239","110/DSC0225+110/DSC0230+110/DSC0228+110/DSC0232"
0112_0111,1,444,264,180,"112/DSC0241+112/DSC0245+112/DSC0243+112/DSC0247","111/DSC0234+111/DSC0238+111/DSC0236+111/DSC0239"
0113_0111,1,443,312,131,"113/DSC0250+113/DSC0253+113/DSC0252+113/DSC0255","111/DSC0234+111/DSC0238+111/DSC0236+111/DSC0239"
0113_0112,1,443,157,286,"113/DSC0250+113/DSC0253+113/DSC0252+113/DSC0255","112/DSC0241+112/DSC0245+112/DSC0243+112/DSC0247"
0114_0111,-1,443,85,358,"114/DSC0257+114/DSC0261+114/DSC0259+114/DSC0263","111/DSC0234+111/DSC0238+111/DSC0236+111/DSC0239"
0115_0112,-1,444,32,412,"115/DSC0266+115/DSC0269+115/DSC0267+115/DSC0271","112/DSC0241+112/DSC0245+112/DSC0243+112/DSC0247"
0115_0114,1,444,279,165,"115/DSC0266+115/DSC0269+115/DSC0267+115/DSC0271","114/DSC0257+114/DSC0261+114/DSC0259+114/DSC0263"
0118_0112,-1,444,139,305,"118/DSC0274+118/DSC0280+118/DSC0276+118/DSC0282","112/DSC0241+112/DSC0245+112/DSC0243+112/DSC0247"
0119_0113,-1,444,78,366,"119/DSC0284+119/DSC0289+119/DSC0285+119/DSC0292","113/DSC0250+113/DSC0253+113/DSC0252+113/DSC0255"
0119_0118,1,443,229,214,"119/DSC0284+119/DSC0289+119/DSC0285+119/DSC0292","118/DSC0274+118/DSC0280+118/DSC0276+118/DSC0282"
0122_0113,-1,444,126,318,"122/DSC0294+122/DSC0298+122/DSC0296+122/DSC0300","113/DSC0250+113/DSC0253+113/DSC0252+113/DSC0255"
0123_0122,1,444,227,217,"123/DSC0302+123/DSC0306+123/DSC0304+123/DSC0308","122/DSC0294+122/DSC0298+122/DSC0296+122/DSC0300"
0124_0123,-1,444,169,275,"124/DSC0309+124/DSC0315+124/DSC0313+124/DSC0318","123/DSC0302+123/DSC0306+123/DSC0304+123/DSC0308"
0125_0124,1,444,388,56,"125/DSC0320+125/DSC0326+125/DSC0321+125/DSC0328","124/DSC0309+124/DSC0315+124/DSC0313+124/DSC0318"
0126_0125,-1,443,96,347,"126/DSC0346+126/DSC0350+126/DSC0348+126/DSC0352","125/DSC0320+125/DSC0326+125/DSC0321+125/DSC0328"
0127_0126,1,444,261,183,"127/DSC0355+127/DSC0359+127/DSC0357+127/DSC0360","126/DSC0346+126/DSC0350+126/DSC0348+126/DSC0352"
0128_0127,-1,444,316,128,"128/DSC0362+128/DSC0365+128/DSC0364+128/DSC0367","127/DSC0355+127/DSC0359+127/DSC0357+127/DSC0360"
0129_0128,1,444,244,200,"129/DSC0369+129/DSC0375+129/DSC0371+129/DSC0377","128/DSC0362+128/DSC0365+128/DSC0364+128/DSC0367"
0130_0129,-1,443,49,394,"130/DSC0379+130/DSC0382+130/DSC0381+130/DSC0384","129/DSC0369+129/DSC0375+129/DSC0371+129/DSC0377"
0133_0130,1,443,98,345,"133/DSC0401+133/DSC0404+133/DSC0403+133/DSC0405","130/DSC0379+130/DSC0382+130/DSC0381+130/DSC0384"
0137_0133,-1,444,41,403,"137/DSC0441+137/DSC0449+137/DSC0443+137/DSC0448","133/DSC0401+133/DSC0404+133/DSC0403+133/DSC0405"
0138_0137,1,443,128,315,"138/DSC0452+138/DSC0455+138/DSC0454+138/DSC0458","137/DSC0441+137/DSC0449+137/DSC0443+137/DSC0448"
0144_0143,-1,444,191,253,"144/DSC0534+144/DSC0538+144/DSC0537+144/DSC0540","143/DSC0527+143/DSC0531+143/DSC0529+143/DSC0533"
0145_0144,1,444,358,86,"145/DSC0542+145/DSC0545+145/DSC0543+145/DSC0547","144/DSC0534+144/DSC0538+144/DSC0537+144/DSC0540"
0146_0145,-1,443,42,401,"146/DSC0550+146/DSC0553+146/DSC0551+146/DSC0555","145/DSC0542+145/DSC0545+145/DSC0543+145/DSC0547"
0149_0148,1,444,269,175,"149/DSC0564+149/DSC0568+149/DSC0566+149/DSC0570","148/DSC0557+148/DSC0560+148/DSC0558+148/DSC0562"
0150_0148,-1,444,55,389,"150/DSC0572+150/DSC0576+150/DSC0574+150/DSC0578","148/DSC0557+148/DSC0560+148/DSC0558+148/DSC0562"
0150_0149,-1,443,42,401,"150/DSC0572+150/DSC0576+150/DSC0574+150/DSC0578","149/DSC0564+149/DSC0568+149/DSC0566+149/DSC0570"
0151_0150,1,444,183,261,"151/DSC0579+151/DSC0583+151/DSC0581+151/DSC0584","150/DSC0572+150/DSC0576+150/DSC0574+150/DSC0578"
0152_0150,1,444,297,147,"152/DSC0585+152/DSC0588+152/DSC0587+152/DSC0590","150/DSC0572+150/DSC0576+150/DSC0574+150/DSC0578"
0152_0151,1,444,157,287,"152/DSC0585+152/DSC0588+152/DSC0587+152/DSC0590","151/DSC0579+151/DSC0583+151/DSC0581+151/DSC0584"
0153_0151,-1,444,23,421,"153/DSC0592+153/DSC0595+153/DSC0593+153/DSC0597","151/DSC0579+151/DSC0583+151/DSC0581+151/DSC0584"
0154_0151,-1,444,19,425,"154/DSC0598+154/DSC0605+154/DSC0603+154/DSC0607","151/DSC0579+151/DSC0583+151/DSC0581+151/DSC0584"
0154_0153,1,444,282,162,"154/DSC0598+154/DSC0605+154/DSC0603+154/DSC0607","153/DSC0592+153/DSC0595+153/DSC0593+153/DSC0597"
0155_0152,-1,444,119,325,"155/DSC0609+155/DSC0612+155/DSC0610+155/DSC0614","152/DSC0585+152/DSC0588+152/DSC0587+152/DSC0590"
0162_0161,1,444,172,272,"162/DSC0625+162/DSC0629+162/DSC0627+162/DSC0632","161/DSC0617+161/DSC0623+161/DSC0621+161/DSC0624"
0164_0163,1,443,204,239,"164/DSC0641+164/DSC0646+164/DSC0644+164/DSC0647","163/DSC0633+163/DSC0637+163/DSC0635+163/DSC0640"
0165_0161,-1,444,58,386,"165/DSC0652+165/DSC0654+165/DSC0650+165/DSC0656","161/DSC0617+161/DSC0623+161/DSC0621+161/DSC0624"
0166_0161,-1,443,103,340,"166/DSC0657+166/DSC0661+166/DSC0659+166/DSC0663","161/DSC0617+161/DSC0623+161/DSC0621+161/DSC0624"
0166_0165,1,443,139,304,"166/DSC0657+166/DSC0661+166/DSC0659+166/DSC0663","165/DSC0652+165/DSC0654+165/DSC0650+165/DSC0656"
0167_0162,-1,443,74,369,"167/DSC0666+167/DSC0669+167/DSC0667+167/DSC0671","162/DSC0625+162/DSC0629+162/DSC0627+162/DSC0632"
0177_0173,-1,444,129,315,"177/DSC0707+177/DSC0710+177/DSC0708+177/DSC0711","173/DSC0682+173/DSC0684+173/DSC0681+173/DSC0686"
0182_0181,1,444,353,91,"182/DSC0720+182/DSC0725+182/DSC0723+182/DSC0727","181/DSC0714+181/DSC0717+181/DSC0715+181/DSC0719"
0183_0181,-1,444,149,295,"183/DSC0729+183/DSC0732+183/DSC0731+183/DSC0733","181/DSC0714+181/DSC0717+181/DSC0715+181/DSC0719"
0184_0182,-1,443,31,412,"184/DSC0736+184/DSC0740+184/DSC0738+184/DSC0741","182/DSC0720+182/DSC0725+182/DSC0723+182/DSC0727"
0184_0183,1,443,223,220,"184/DSC0736+184/DSC0740+184/DSC0738+184/DSC0741","183/DSC0729+183/DSC0732+183/DSC0731+183/DSC0733"
0186_0185,1,444,133,311,"186/DSC0751+186/DSC0754+186/DSC0752+186/DSC0756","185/DSC0743+185/DSC0746+185/DSC0744+185/DSC0748"
0190_0185,-1,444,67,377,"190/DSC0784+190/DSC0787+190/DSC0785+190/DSC0789","185/DSC0743+185/DSC0746+185/DSC0744+185/DSC0748"
0191_0186,-1,444,248,196,"191/DSC0791+191/DSC0795+191/DSC0793+191/DSC0797","186/DSC0751+186/DSC0754+186/DSC0752+186/DSC0756"
0191_0190,1,444,81,363,"191/DSC0791+191/DSC0795+191/DSC0793+191/DSC0797","190/DSC0784+190/DSC0787+190/DSC0785+190/DSC0789"
0194_0192,-1,444,110,334,"194/DSC0812+194/DSC0816+194/DSC0814+194/DSC0818","192/DSC0801+192/DSC0803+192/DSC0800+192/DSC0805"
0199_0198,1,443,268,175,"199/DSC0829+199/DSC0832+199/DSC0830+199/DSC0834","198/DSC0822+198/DSC0824+198/DSC0826+198/DSC0825"
0201_0198,-1,444,32,412,"201/DSC0852+201/DSC0856+201/DSC0853+201/DSC0858","198/DSC0822+198/DSC0824+198/DSC0826+198/DSC0825"
0202_0199,-1,444,78,366,"202/DSC0859+202/DSC0864+202/DSC0862+202/DSC0866","199/DSC0829+199/DSC0832+199/DSC0830+199/DSC0834"
0202_0201,1,444,236,208,"202/DSC0859+202/DSC0864+202/DSC0862+202/DSC0866","201/DSC0852+201/DSC0856+201/DSC0853+201/DSC0858"
0205_0204,1,444,71,373,"205/DSC0875+205/DSC0878+205/DSC0877+205/DSC0880","204/DSC0868+204/DSC0870+204/DSC0869+204/DSC0872"
0207_0204,-1,443,112,331,"207/DSC0882+207/DSC0885+207/DSC0883+207/DSC0887","204/DSC0868+204/DSC0870+204/DSC0869+204/DSC0872"
0207_0205,-1,443,22,421,"207/DSC0882+207/DSC0885+207/DSC0883+207/DSC0887","205/DSC0875+205/DSC0878+205/DSC0877+205/DSC0880"
0208_0207,1,443,204,239,"208/DSC0888+208/DSC0892+208/DSC0890+208/DSC0895","207/DSC0882+207/DSC0885+207/DSC0883+207/DSC0887"
0209_0207,1,443,228,215,"209/DSC0898+209/DSC0903+209/DSC0899+209/DSC0905","207/DSC0882+207/DSC0885+207/DSC0883+207/DSC0887"
0209_0208,1,444,160,284,"209/DSC0898+209/DSC0903+209/DSC0899+209/DSC0905","208/DSC0888+208/DSC0892+208/DSC0890+208/DSC0895"
0212_0209,-1,444,52,392,"212/DSC2175+212/DSC2180+212/DSC2177+212/DSC2181","209/DSC0898+209/DSC0903+209/DSC0899+209/DSC0905"
0213_0209,-1,444,115,329,"213/DSC2184+213/DSC2187+213/DSC2185+213/DSC2189","209/DSC0898+209/DSC0903+209/DSC0899+209/DSC0905"
0213_0212,1,444,343,101,"213/DSC2184+213/DSC2187+213/DSC2185+213/DSC2189","212/DSC2175+212/DSC2180+212/DSC2177+212/DSC2181"
0217_0216,1,444,282,162,"217/DSC2217+217/DSC2219+217/DSC2216+217/DSC2221","216/DSC2209+216/DSC2211+216/DSC2207+216/DSC2213"
0218_0216,-1,444,99,345,"218/DSC2223+218/DSC2228+218/DSC2226+218/DSC2231","216/DSC2209+216/DSC2211+216/DSC2207+216/DSC2213"
0219_0217,-1,444,67,377,"219/DSC2232+219/DSC2236+219/DSC2234+219/DSC2238","217/DSC2217+217/DSC2219+217/DSC2216+217/DSC2221"
0219_0218,1,443,179,264,"219/DSC2232+219/DSC2236+219/DSC2234+219/DSC2238","218/DSC2223+218/DSC2228+218/DSC2226+218/DSC2231"
0221_0220,1,444,303,141,"221/DSC2256+221/DSC2260+221/DSC2258+221/DSC2262","220/DSC2248+220/DSC2252+220/DSC2250+220/DSC2254"
0224_0220,-1,443,87,356,"224/DSC2281+224/DSC2285+224/DSC2283+224/DSC2287","220/DSC2248+220/DSC2252+220/DSC2250+220/DSC2254"
0226_0221,-1,444,108,336,"226/DSC2297+226/DSC2300+226/DSC2298+226/DSC2303","221/DSC2256+221/DSC2260+221/DSC2258+221/DSC2262"
0227_0226,1,444,174,270,"227/DSC2305+227/DSC2309+227/DSC2307+227/DSC2311","226/DSC2297+226/DSC2300+226/DSC2298+226/DSC2303"
0228_0227,-1,444,55,389,"228/DSC2891+228/DSC2895+228/DSC2893+228/DSC2896","227/DSC2305+227/DSC2309+227/DSC2307+227/DSC2311"
0229_0228,1,443,209,234,"229/DSC2898+229/DSC2903+229/DSC2900+229/DSC2905","228/DSC2891+228/DSC2895+228/DSC2893+228/DSC2896"
0237_0236,1,443,135,308,"237/DSC2922+237/DSC2926+237/DSC2925+237/DSC2929","236/DSC2913+236/DSC2917+236/DSC2915+236/DSC2919"
0240_0237,-1,444,51,393,"240/DSC2946+240/DSC2952+240/DSC2951+240/DSC2954","237/DSC2922+237/DSC2926+237/DSC2925+237/DSC2929"
0247_0246,1,444,263,181,"247/DSC2966+247/DSC2970+247/DSC2968+247/DSC2972","246/DSC2982+246/DSC2986+246/DSC2984+246/DSC2988"
0248_0246,-1,443,126,317,"248/DSC2992+248/DSC2999+248/DSC2997+248/DSC3000","246/DSC2982+246/DSC2986+246/DSC2984+246/DSC2988"
0249_0247,-1,444,65,379,"249/DSC3002+249/DSC3009+249/DSC3005+249/DSC3012","247/DSC2966+247/DSC2970+247/DSC2968+247/DSC2972"
0249_0248,1,444,188,256,"249/DSC3002+249/DSC3009+249/DSC3005+249/DSC3012","248/DSC2992+248/DSC2999+248/DSC2997+248/DSC3000"
0251_0250,1,444,186,258,"251/DSC3023+251/DSC3029+251/DSC3026+251/DSC3032","250/DSC3013+250/DSC3018+250/DSC3016+250/DSC3020"
0254_0250,-1,444,149,295,"254/DSC3036+254/DSC3039+254/DSC3037+254/DSC3042","250/DSC3013+250/DSC3018+250/DSC3016+250/DSC3020"
0255_0251,-1,443,87,356,"255/DSC3048+255/DSC3049+255/DSC3045+255/DSC3051","251/DSC3023+251/DSC3029+251/DSC3026+251/DSC3032"
0255_0254,1,444,279,165,"255/DSC3048+255/DSC3049+255/DSC3045+255/DSC3051","254/DSC3036+254/DSC3039+254/DSC3037+254/DSC3042"
0267_0266,1,444,147,297,"267/DSC3077+267/DSC3079+267/DSC3074+267/DSC3083","266/DSC3067+266/DSC3069+266/DSC3065+266/DSC3071"
